State,AdminRegion,Count_yr,SpeciesNumber,NumberByPartyHours,Year,ReportingCounts,ReportingObservers
AL,alabama,100,66,0.0842,1999,8,37
AL,alabama,101,3,0.0039,2000,3,30
AL,alabama,102,11,0.0133,2001,4,31
AL,alabama,103,0,0,2002,1,21
AL,alabama,104,7,0.0081,2003,4,36
AL,alabama,105,50,0.0659,2004,7,41
AL,alabama,106,12,0.0154,2005,4,36
AL,alabama,107,6,0.0085,2006,1,16
AL,alabama,108,38,0.0528,2007,8,38
AL,alabama,109,5,0.0072,2008,4,23
AL,alabama,110,11,0.0161,2009,5,30
AL,alabama,111,31,0.0466,2010,6,35
AL,alabama,112,4,0.0064,2011,3,35
AL,alabama,113,60,0.092,2012,8,37
AL,alabama,114,8,0.0147,2013,2,28
AR,arkansas,42,1,0.069,1941,1,1
AR,arkansas,54,1,0.0093,1953,1,3
AR,arkansas,55,2,0.0079,1954,1,28
AR,arkansas,56,1,0.0041,1955,1,18
AR,arkansas,58,3,0.013,1957,1,15
AR,arkansas,59,1,0.0069,1958,1,13
AR,arkansas,62,19,0.0547,1961,6,25
AR,arkansas,64,14,0.0364,1963,5,28
AR,arkansas,65,3,0.0071,1964,3,27
AR,arkansas,66,33,0.0663,1965,6,34
AR,arkansas,67,5,0.0094,1966,3,27
AR,arkansas,68,4,0.0069,1967,2,13
AR,arkansas,69,46,0.0732,1968,8,24
AR,arkansas,70,117,0.1711,1969,9,36
AR,arkansas,71,8,0.0124,1970,3,16
AR,arkansas,72,13,0.0156,1971,3,20
AR,arkansas,73,19,0.0208,1972,8,24
AR,arkansas,74,1,0.0012,1973,1,21
AR,arkansas,75,15,0.0179,1974,8,40
AR,arkansas,76,78,0.0945,1975,12,26
AR,arkansas,77,74,0.0975,1976,14,34
AR,arkansas,78,189,0.2354,1977,15,36
AR,arkansas,79,17,0.019,1978,10,27
AR,arkansas,80,4,0.0039,1979,3,29
AR,arkansas,81,90,0.1171,1980,13,31
AR,arkansas,82,104,0.116,1981,15,30
AR,arkansas,83,21,0.0211,1982,9,43
AR,arkansas,84,61,0.0686,1983,11,47
AR,arkansas,85,3,0.0031,1984,2,15
AR,arkansas,86,139,0.1559,1985,17,32
AR,arkansas,87,49,0.0487,1986,12,24
AR,arkansas,88,18,0.0202,1987,8,24
AR,arkansas,89,25,0.0262,1988,9,35
AR,arkansas,90,64,0.0649,1989,16,29
AR,arkansas,91,21,0.02,1990,8,30
AR,arkansas,92,39,0.0369,1991,10,35
AR,arkansas,93,16,0.015,1992,9,30
AR,arkansas,94,322,0.3128,1993,15,27
AR,arkansas,95,3,0.0028,1994,2,32
AR,arkansas,96,202,0.2033,1995,16,35
AR,arkansas,97,4,0.0041,1996,3,25
AR,arkansas,98,174,0.1856,1997,17,30
AR,arkansas,99,10,0.0107,1998,7,36
AR,arkansas,100,143,0.1484,1999,17,36
AR,arkansas,101,15,0.0207,2000,9,34
AR,arkansas,102,86,0.0991,2001,13,32
AR,arkansas,103,10,0.0103,2002,5,29
AR,arkansas,104,3,0.0035,2003,2,13
AR,arkansas,105,95,0.0941,2004,12,33
AR,arkansas,106,32,0.0281,2005,11,40
AR,arkansas,107,5,0.0052,2006,3,33
AR,arkansas,108,213,0.2018,2007,18,38
AR,arkansas,109,27,0.0275,2008,6,36
AR,arkansas,110,18,0.0196,2009,11,46
AR,arkansas,111,55,0.0566,2010,12,42
AR,arkansas,112,16,0.0158,2011,7,42
AR,arkansas,113,117,0.1236,2012,18,41
AR,arkansas,114,10,0.0111,2013,7,37
AZ,arizona,36,3,0,1935,1,2
AZ,arizona,39,1,0.1538,1938,1,8
AZ,arizona,40,2,0,1939,1,10
AZ,arizona,44,3,0.0474,1943,1,23
AZ,arizona,48,28,3.7333,1947,1,22
AZ,arizona,50,6,0.2791,1949,1,27
AZ,arizona,51,2,0.0667,1950,1,28
AZ,arizona,52,1,0.0075,1951,1,14
AZ,arizona,54,1,0.0066,1953,1,15
AZ,arizona,56,1,0.008,1955,1,27
AZ,arizona,58,2,0.0071,1957,1,2
AZ,arizona,59,1,0.0035,1958,1,14
AZ,arizona,60,1,0.0056,1959,1,21
AZ,arizona,62,1,0.0026,1961,1,28
AZ,arizona,64,13,0.0512,1963,4,16
AZ,arizona,65,1,0.0026,1964,1,19
AZ,arizona,67,4,0.008,1966,2,17
AZ,arizona,68,2,0.0059,1967,1,16
AZ,arizona,69,11,0.0132,1968,3,21
AZ,arizona,70,9,0.0141,1969,2,17
AZ,arizona,71,1,0.0014,1970,1,14
AZ,arizona,72,4,0.0041,1971,2,31
AZ,arizona,73,193,0.1673,1972,9,51
AZ,arizona,74,155,0.1375,1973,5,66
AZ,arizona,75,13,0.0116,1974,3,25
AZ,arizona,76,23,0.0177,1975,4,43
AZ,arizona,77,75,0.0459,1976,7,43
AZ,arizona,78,58,0.0287,1977,5,37
AZ,arizona,79,72,0.036,1978,7,41
AZ,arizona,80,59,0.0301,1979,7,39
AZ,arizona,81,54,0.0294,1980,6,74
AZ,arizona,82,58,0.0311,1981,6,45
AZ,arizona,83,39,0.0172,1982,6,55
AZ,arizona,84,68,0.0306,1983,7,49
AZ,arizona,85,40,0.019,1984,11,85
AZ,arizona,86,27,0.0125,1985,8,48
AZ,arizona,87,34,0.0157,1986,6,55
AZ,arizona,88,16,0.0082,1987,10,51
AZ,arizona,89,31,0.015,1988,6,45
AZ,arizona,90,47,0.0246,1989,8,81
AZ,arizona,91,50,0.0211,1990,4,53
AZ,arizona,92,72,0.03,1991,4,36
AZ,arizona,93,74,0.0308,1992,6,38
AZ,arizona,94,131,0.0505,1993,6,48
AZ,arizona,95,177,0.0676,1994,8,41
AZ,arizona,96,57,0.0276,1995,8,35
AZ,arizona,97,96,0.0447,1996,12,45
AZ,arizona,98,16,0.0067,1997,4,37
AZ,arizona,99,61,0.0239,1998,7,53
AZ,arizona,100,37,0.0157,1999,7,54
AZ,arizona,101,42,0.0152,2000,8,52
AZ,arizona,102,20,0.0071,2001,6,60
AZ,arizona,103,48,0.0172,2002,11,58
AZ,arizona,104,30,0.0106,2003,6,64
AZ,arizona,105,149,0.0578,2004,13,71
AZ,arizona,106,61,0.0199,2005,8,60
AZ,arizona,107,31,0.0106,2006,9,62
AZ,arizona,108,115,0.0408,2007,18,79
AZ,arizona,109,13,0.0043,2008,8,66
AZ,arizona,110,13,0.004,2009,5,68
AZ,arizona,111,66,0.0206,2010,8,62
AZ,arizona,112,8,0.0029,2011,4,53
AZ,arizona,113,35,0.0116,2012,11,123
AZ,arizona,114,22,0.0071,2013,5,97
CA,california,1,2,0,1900,1,1
CA,california,17,2,0,1916,1,4
CA,california,20,3,0,1919,1,5
CA,california,23,3,0,1922,1,8
CA,california,25,0,0,1924,1,4
CA,california,32,3,0,1931,1,19
CA,california,33,2,0,1932,1,7
CA,california,34,4,0,1933,1,4
CA,california,35,23,0,1934,1,14
CA,california,36,23,0,1935,4,19
CA,california,37,5,0,1936,1,8
CA,california,38,20,0,1937,1,21
CA,california,39,10,0.0598,1938,1,12
CA,california,40,31,0.4379,1939,2,24
CA,california,41,5,0.0394,1940,3,16
CA,california,42,5,0.0386,1941,2,8
CA,california,43,5,0.0236,1942,3,21
CA,california,44,1,0.0044,1943,1,13
CA,california,45,9,0.0438,1944,1,24
CA,california,46,6,0.021,1945,1,22
CA,california,47,10,0.0266,1946,2,21
CA,california,48,161,0.3823,1947,9,45
CA,california,49,13,0.0236,1948,2,30
CA,california,50,27,0.06,1949,4,39
CA,california,51,51,0.055,1950,6,54
CA,california,52,47,0.0719,1951,5,53
CA,california,53,36,0.0328,1952,7,50
CA,california,54,50,0.0413,1953,6,64
CA,california,55,68,0.0418,1954,7,81
CA,california,56,71,0.0562,1955,10,66
CA,california,57,59,0.0398,1956,7,44
CA,california,58,78,0.0417,1957,10,72
CA,california,59,46,0.0275,1958,7,46
CA,california,60,90,0.0494,1959,6,62
CA,california,61,114,0.0551,1960,10,47
CA,california,62,78,0.0355,1961,15,69
CA,california,63,90,0.0361,1962,5,46
CA,california,64,410,0.163,1963,27,95
CA,california,65,32,0.0139,1964,7,59
CA,california,66,62,0.0224,1965,11,62
CA,california,67,255,0.0761,1966,20,106
CA,california,68,178,0.0484,1967,15,88
CA,california,69,48,0.0139,1968,13,68
CA,california,70,1184,0.3267,1969,29,83
CA,california,71,212,0.0481,1970,24,146
CA,california,72,140,0.0298,1971,20,193
CA,california,73,720,0.1208,1972,37,183
CA,california,74,282,0.0412,1973,32,224
CA,california,75,346,0.0492,1974,28,256
CA,california,76,553,0.0693,1975,35,223
CA,california,77,431,0.0477,1976,35,230
CA,california,78,443,0.0513,1977,45,223
CA,california,79,420,0.0431,1978,32,202
CA,california,80,1149,0.1302,1979,59,213
CA,california,81,585,0.06,1980,36,194
CA,california,82,342,0.0391,1981,45,175
CA,california,83,296,0.0277,1982,37,186
CA,california,84,1033,0.1012,1983,52,152
CA,california,85,1093,0.1109,1984,54,156
CA,california,86,564,0.0562,1985,40,167
CA,california,87,1196,0.1173,1986,57,154
CA,california,88,623,0.0609,1987,55,148
CA,california,89,640,0.0679,1988,38,148
CA,california,90,866,0.0835,1989,50,166
CA,california,91,1207,0.1185,1990,60,157
CA,california,92,540,0.0508,1991,41,146
CA,california,93,884,0.0825,1992,50,147
CA,california,94,878,0.0785,1993,42,154
CA,california,95,794,0.0661,1994,45,159
CA,california,96,744,0.0644,1995,41,159
CA,california,97,1870,0.1732,1996,87,152
CA,california,98,412,0.0346,1997,42,183
CA,california,99,1107,0.0915,1998,74,182
CA,california,100,461,0.0372,1999,42,160
CA,california,101,1167,0.092,2000,77,175
CA,california,102,414,0.0324,2001,56,184
CA,california,103,398,0.0327,2002,45,176
CA,california,104,524,0.0397,2003,40,176
CA,california,105,1876,0.1477,2004,81,203
CA,california,106,965,0.0797,2005,57,195
CA,california,107,657,0.0484,2006,51,213
CA,california,108,758,0.0538,2007,68,208
CA,california,109,1054,0.0756,2008,66,209
CA,california,110,894,0.0619,2009,52,220
CA,california,111,829,0.0625,2010,88,199
CA,california,112,816,0.0544,2011,64,214
CA,california,113,2683,0.195,2012,107,266
CA,california,114,797,0.052,2013,58,256
CO,colorado,19,2,0,1918,1,1
CO,colorado,23,2,0.2222,1922,2,1
CO,colorado,34,1,0,1933,1,1
CO,colorado,36,3,0,1935,1,1
CO,colorado,42,2,0.0833,1941,1,1
CO,colorado,43,2,0.1429,1942,1,1
CO,colorado,48,4,0.2162,1947,1,3
CO,colorado,51,6,0.0566,1950,3,15
CO,colorado,52,19,0.1331,1951,5,17
CO,colorado,53,9,0.0327,1952,4,23
CO,colorado,54,23,0.0761,1953,4,37
CO,colorado,55,3,0.011,1954,3,32
CO,colorado,56,92,0.2968,1955,7,25
CO,colorado,57,4,0.013,1956,3,30
CO,colorado,58,99,0.3091,1957,7,22
CO,colorado,59,8,0.0247,1958,4,26
CO,colorado,60,32,0.0906,1959,4,30
CO,colorado,61,36,0.0978,1960,8,29
CO,colorado,62,7,0.0188,1961,3,23
CO,colorado,63,14,0.0397,1962,3,31
CO,colorado,64,174,0.4085,1963,10,36
CO,colorado,65,24,0.0606,1964,5,32
CO,colorado,66,102,0.1858,1965,9,41
CO,colorado,67,32,0.0464,1966,10,45
CO,colorado,68,23,0.0409,1967,4,32
CO,colorado,69,7,0.0104,1968,4,54
CO,colorado,70,407,0.4527,1969,10,58
CO,colorado,71,47,0.0413,1970,9,66
CO,colorado,72,122,0.1167,1971,9,91
CO,colorado,73,287,0.2877,1972,9,83
CO,colorado,74,76,0.0595,1973,8,93
CO,colorado,75,500,0.3483,1974,12,154
CO,colorado,76,100,0.0746,1975,10,131
CO,colorado,77,134,0.0861,1976,13,149
CO,colorado,78,90,0.0597,1977,12,134
CO,colorado,79,71,0.0514,1978,11,149
CO,colorado,80,98,0.0672,1979,12,149
CO,colorado,81,142,0.0892,1980,10,124
CO,colorado,82,691,0.4477,1981,18,154
CO,colorado,83,69,0.0495,1982,15,135
CO,colorado,84,402,0.2633,1983,12,150
CO,colorado,85,646,0.3901,1984,19,145
CO,colorado,86,67,0.0405,1985,13,124
CO,colorado,87,470,0.2404,1986,18,106
CO,colorado,88,278,0.1604,1987,16,92
CO,colorado,89,243,0.1254,1988,19,111
CO,colorado,90,228,0.1077,1989,19,88
CO,colorado,91,1148,0.578,1990,15,87
CO,colorado,92,769,0.3946,1991,24,102
CO,colorado,93,1139,0.4883,1992,23,86
CO,colorado,94,839,0.3816,1993,20,94
CO,colorado,95,687,0.3149,1994,23,111
CO,colorado,96,517,0.2303,1995,21,100
CO,colorado,97,672,0.2967,1996,26,89
CO,colorado,98,457,0.2072,1997,21,108
CO,colorado,99,411,0.1922,1998,26,98
CO,colorado,100,512,0.2148,1999,21,119
CO,colorado,101,763,0.314,2000,30,109
CO,colorado,102,637,0.2737,2001,26,87
CO,colorado,103,271,0.1084,2002,21,111
CO,colorado,104,432,0.1705,2003,20,97
CO,colorado,105,535,0.194,2004,30,104
CO,colorado,106,561,0.2376,2005,28,82
CO,colorado,107,299,0.1239,2006,22,98
CO,colorado,108,793,0.31,2007,28,98
CO,colorado,109,300,0.1133,2008,25,106
CO,colorado,110,1261,0.4524,2009,29,125
CO,colorado,111,282,0.1033,2010,29,127
CO,colorado,112,517,0.1721,2011,28,123
CO,colorado,113,527,0.1708,2012,33,162
CO,colorado,114,330,0.1101,2013,22,165
CT,connecticut,3,1,0,1902,1,3
CT,connecticut,4,2,0,1903,1,5
CT,connecticut,7,2,0,1906,1,1
CT,connecticut,8,1,0,1907,1,1
CT,connecticut,9,4,0,1908,1,1
CT,connecticut,16,3,0,1915,1,1
CT,connecticut,24,3,0,1923,1,2
CT,connecticut,32,1,0,1931,1,4
CT,connecticut,34,2,0,1933,1,1
CT,connecticut,36,1,0,1935,1,1
CT,connecticut,37,6,0,1936,1,1
CT,connecticut,38,18,0,1937,2,2
CT,connecticut,39,5,0.3125,1938,1,2
CT,connecticut,41,6,0.1875,1940,3,5
CT,connecticut,42,1,0.019,1941,1,4
CT,connecticut,44,6,0.0909,1943,3,24
CT,connecticut,46,2,0.0707,1945,1,36
CT,connecticut,47,4,0.1465,1946,1,33
CT,connecticut,49,2,0.2667,1948,2,31
CT,connecticut,50,7,0.1675,1949,2,22
CT,connecticut,52,46,0.1496,1951,5,44
CT,connecticut,53,3,0.01,1952,1,134
CT,connecticut,54,10,0.0242,1953,3,116
CT,connecticut,55,51,0.1115,1954,7,111
CT,connecticut,56,16,0.0368,1955,7,60
CT,connecticut,57,5,0.012,1956,2,58
CT,connecticut,58,24,0.0477,1957,6,71
CT,connecticut,59,16,0.0252,1958,7,74
CT,connecticut,60,81,0.1196,1959,7,71
CT,connecticut,61,3,0.0063,1960,2,62
CT,connecticut,62,36,0.0557,1961,8,76
CT,connecticut,63,20,0.0346,1962,4,66
CT,connecticut,64,40,0.0602,1963,7,70
CT,connecticut,65,13,0.0193,1964,5,81
CT,connecticut,66,80,0.0849,1965,10,85
CT,connecticut,67,11,0.011,1966,7,77
CT,connecticut,68,13,0.012,1967,6,76
CT,connecticut,69,54,0.0534,1968,9,71
CT,connecticut,70,169,0.1351,1969,9,97
CT,connecticut,71,30,0.0201,1970,8,102
CT,connecticut,72,46,0.0274,1971,9,108
CT,connecticut,73,154,0.1123,1972,13,105
CT,connecticut,74,178,0.1117,1973,11,96
CT,connecticut,75,67,0.0364,1974,9,189
CT,connecticut,76,95,0.0533,1975,12,152
CT,connecticut,77,133,0.0749,1976,12,149
CT,connecticut,78,189,0.108,1977,13,175
CT,connecticut,79,82,0.0478,1978,13,176
CT,connecticut,80,36,0.0198,1979,10,162
CT,connecticut,81,117,0.0608,1980,12,217
CT,connecticut,82,259,0.1216,1981,14,235
CT,connecticut,83,57,0.0297,1982,12,207
CT,connecticut,84,105,0.0553,1983,14,230
CT,connecticut,85,54,0.0276,1984,10,185
CT,connecticut,86,100,0.0489,1985,14,181
CT,connecticut,87,89,0.0398,1986,13,92
CT,connecticut,88,121,0.0555,1987,13,153
CT,connecticut,89,35,0.0157,1988,10,153
CT,connecticut,90,358,0.1939,1989,15,103
CT,connecticut,91,436,0.2225,1990,16,100
CT,connecticut,92,82,0.0387,1991,12,149
CT,connecticut,93,266,0.123,1992,16,141
CT,connecticut,94,692,0.3113,1993,15,133
CT,connecticut,95,180,0.0885,1994,12,183
CT,connecticut,96,152,0.0683,1995,15,171
CT,connecticut,97,131,0.0635,1996,13,154
CT,connecticut,98,178,0.0817,1997,15,155
CT,connecticut,99,59,0.0281,1998,11,155
CT,connecticut,100,141,0.0622,1999,15,157
CT,connecticut,101,67,0.0378,2000,13,137
CT,connecticut,102,105,0.0506,2001,15,120
CT,connecticut,103,32,0.0161,2002,9,141
CT,connecticut,104,340,0.2211,2003,15,121
CT,connecticut,105,39,0.0205,2004,12,126
CT,connecticut,106,190,0.0966,2005,16,102
CT,connecticut,107,37,0.0185,2006,8,129
CT,connecticut,108,172,0.0907,2007,16,105
CT,connecticut,109,21,0.0105,2008,9,59
CT,connecticut,110,73,0.048,2009,11,102
CT,connecticut,111,115,0.0611,2010,15,108
CT,connecticut,112,20,0.0108,2011,9,61
CT,connecticut,113,288,0.1625,2012,16,113
CT,connecticut,114,13,0.0083,2013,7,97
DC,district of columbia,2,8,0,1901,1,1
DC,district of columbia,17,7,0,1916,2,4
DC,district of columbia,19,4,0,1918,1,4
DC,district of columbia,22,3,0,1921,1,3
DC,district of columbia,36,1,0,1935,1,1
DC,district of columbia,37,1,0,1936,1,2
DC,district of columbia,38,5,0,1937,1,3
DC,district of columbia,39,6,0.2553,1938,1,5
DC,district of columbia,44,6,0.8,1943,1,1
DC,district of columbia,46,2,0,1945,1,36
DC,district of columbia,47,5,0,1946,1,28
DC,district of columbia,48,1,0.0135,1947,1,55
DC,district of columbia,50,2,0.0175,1949,1,59
DC,district of columbia,55,121,0.6875,1954,1,56
DC,district of columbia,56,10,0.0443,1955,1,54
DC,district of columbia,57,7,0.0352,1956,1,39
DC,district of columbia,58,10,0.061,1957,1,63
DC,district of columbia,60,1,0.0037,1959,1,79
DC,district of columbia,62,6,0.0286,1961,1,70
DC,district of columbia,64,31,0.1498,1963,1,105
DC,district of columbia,66,23,0.125,1965,1,89
DC,district of columbia,67,1,0.0046,1966,1,65
DC,district of columbia,69,8,0.0417,1968,1,65
DC,district of columbia,70,17,0.0988,1969,1,74
DC,district of columbia,72,1,0.0045,1971,1,78
DC,district of columbia,73,2,0.0114,1972,1,69
DC,district of columbia,74,14,0.0609,1973,1,74
DC,district of columbia,75,5,0.0224,1974,1,96
DC,district of columbia,76,25,0.1046,1975,1,97
DC,district of columbia,77,5,0.019,1976,1,91
DC,district of columbia,78,24,0.0533,1977,1,110
DC,district of columbia,79,4,0.0178,1978,1,96
DC,district of columbia,80,7,0.0221,1979,1,131
DC,district of columbia,81,27,0.1034,1980,1,119
DC,district of columbia,82,44,0.1606,1981,1,118
DC,district of columbia,83,7,0.0244,1982,1,124
DC,district of columbia,84,49,0.1586,1983,1,121
DC,district of columbia,85,2,0.0071,1984,1,117
DC,district of columbia,86,28,0.1261,1985,1,107
DC,district of columbia,87,37,0.1446,1986,1,112
DC,district of columbia,88,1,0.0041,1987,1,106
DC,district of columbia,89,2,0.0086,1988,1,90
DC,district of columbia,90,25,0.1371,1989,1,78
DC,district of columbia,91,1,0.0064,1990,1,93
DC,district of columbia,92,1,0.0046,1991,1,120
DC,district of columbia,93,1,0.0052,1992,1,85
DC,district of columbia,94,13,0.0574,1993,1,90
DC,district of columbia,95,10,0.0496,1994,1,84
DC,district of columbia,96,3,0.0168,1995,1,76
DC,district of columbia,97,1,0.0052,1996,1,73
DC,district of columbia,98,2,0.012,1997,1,100
DC,district of columbia,99,5,0.0283,1998,1,121
DC,district of columbia,100,21,0.0938,1999,1,130
DC,district of columbia,101,12,0.0628,2000,1,105
DC,district of columbia,103,1,0.006,2002,1,104
DC,district of columbia,104,1,0.0051,2003,1,125
DC,district of columbia,105,2,0.0102,2004,1,124
DC,district of columbia,106,15,0.0798,2005,1,132
DC,district of columbia,107,2,0.0085,2006,1,127
DC,district of columbia,108,15,0.0651,2007,1,146
DC,district of columbia,109,6,0.0284,2008,1,130
DC,district of columbia,110,1,0.0059,2009,1,105
DC,district of columbia,111,8,0.0374,2010,1,135
DC,district of columbia,113,17,0.0665,2012,1,145
DC,district of columbia,114,2,0.0083,2013,1,143
DE,delaware,8,1,0,1907,1,2
DE,delaware,32,1,0,1931,1,2
DE,delaware,38,2,0,1937,1,3
DE,delaware,39,1,0,1938,1,5
DE,delaware,40,4,0.2105,1939,1,3
DE,delaware,42,12,1.3333,1941,2,38
DE,delaware,46,2,0,1945,1,9
DE,delaware,47,1,0.0142,1946,1,21
DE,delaware,49,3,0.039,1948,2,19
DE,delaware,50,2,0.0323,1949,1,21
DE,delaware,52,9,0.0389,1951,2,23
DE,delaware,55,10,0.0803,1954,2,35
DE,delaware,56,5,0.0368,1955,2,25
DE,delaware,58,24,0.1622,1957,2,19
DE,delaware,59,3,0.021,1958,1,19
DE,delaware,60,20,0.1527,1959,2,23
DE,delaware,61,1,0.006,1960,1,16
DE,delaware,62,11,0.1111,1961,2,15
DE,delaware,64,12,0.0702,1963,2,20
DE,delaware,65,3,0.0116,1964,2,44
DE,delaware,66,19,0.0487,1965,3,50
DE,delaware,67,10,0.0237,1966,3,37
DE,delaware,68,3,0.007,1967,2,39
DE,delaware,69,23,0.059,1968,5,45
DE,delaware,70,84,0.1863,1969,5,46
DE,delaware,71,1,0.0022,1970,1,26
DE,delaware,72,10,0.0211,1971,5,44
DE,delaware,73,28,0.0581,1972,3,47
DE,delaware,74,4,0.0084,1973,2,40
DE,delaware,75,5,0.0105,1974,2,32
DE,delaware,76,102,0.199,1975,5,42
DE,delaware,77,30,0.0609,1976,5,39
DE,delaware,78,49,0.093,1977,4,53
DE,delaware,79,25,0.049,1978,5,48
DE,delaware,81,22,0.0549,1980,5,45
DE,delaware,82,80,0.1664,1981,5,46
DE,delaware,83,11,0.0254,1982,4,51
DE,delaware,84,54,0.1215,1983,6,45
DE,delaware,85,2,0.0043,1984,2,33
DE,delaware,86,42,0.0919,1985,6,57
DE,delaware,87,48,0.1113,1986,6,51
DE,delaware,88,28,0.0554,1987,5,38
DE,delaware,89,8,0.0157,1988,3,34
DE,delaware,90,19,0.0446,1989,4,43
DE,delaware,91,28,0.0606,1990,6,46
DE,delaware,92,22,0.0469,1991,5,44
DE,delaware,93,13,0.0267,1992,4,61
DE,delaware,94,52,0.1073,1993,6,43
DE,delaware,95,6,0.011,1994,3,59
DE,delaware,96,87,0.1521,1995,6,60
DE,delaware,97,9,0.0147,1996,4,42
DE,delaware,98,168,0.2632,1997,6,51
DE,delaware,99,4,0.008,1998,3,62
DE,delaware,100,85,0.1355,1999,6,59
DE,delaware,101,11,0.0278,2000,5,54
DE,delaware,102,134,0.1955,2001,7,64
DE,delaware,103,2,0.0031,2002,2,32
DE,delaware,104,9,0.0142,2003,3,55
DE,delaware,105,60,0.0923,2004,6,61
DE,delaware,106,109,0.1521,2005,7,74
DE,delaware,107,13,0.0207,2006,5,58
DE,delaware,108,230,0.3435,2007,7,66
DE,delaware,109,33,0.043,2008,6,92
DE,delaware,110,28,0.0431,2009,5,39
DE,delaware,111,104,0.1797,2010,6,57
DE,delaware,112,6,0.0087,2011,2,39
